size,row_ms,col_ms
64,0.140,0.111
64,0.157,0.132
64,0.153,0.106
64,0.157,0.122
64,0.138,0.106
128,0.615,0.486
128,0.548,0.424
128,0.609,0.486
128,0.532,0.480
128,0.604,0.485
256,2.086,1.714
256,2.141,1.765
256,2.108,1.722
256,2.151,1.718
256,2.120,1.720
512,8.350,7.040
512,8.346,7.022
512,8.295,7.041
512,8.363,6.992
512,8.486,6.992
1024,37.406,49.956
1024,38.620,49.241
1024,39.353,52.351
1024,36.807,44.107
1024,35.129,50.616
2048,136.819,225.620
2048,139.935,243.533
2048,136.915,227.503
2048,142.456,239.773
2048,136.977,243.319
4096,548.149,2012.209
4096,551.178,1526.624
4096,555.535,1712.070
4096,555.735,1597.453
4096,545.057,1657.790
